timestamp,l1013aspv__snapshot
2010/01/03 20:14,0.412841091
2010/01/03 20:15,0.399036918
2010/01/03 20:16,0.4105939
2010/01/03 20:17,0.404815409
2010/01/03 20:18,0.404494382
2010/01/03 20:19,0.402247191
2010/01/03 20:20,0.392295345
2010/01/03 20:21,0.395505618
2010/01/03 20:22,0.400642055
2010/01/03 20:23,0.400963082
2010/01/03 20:24,0.391332263
2010/01/03 20:25,0.391653291
2010/01/03 20:26,0.393579454
2010/01/03 20:27,0.385553772
2010/01/03 20:28,0.376886035
2010/01/03 20:29,0.390690209
2010/01/03 20:30,0.395184591
2010/01/03 20:31,0.393258427
2010/01/03 20:32,0.387800963
2010/01/03 20:33,0.38812199
2010/01/03 20:34,0.38105939
2010/01/03 20:35,0.374959872
2010/01/03 20:36,0.375601926
2010/01/03 20:37,0.37752809
2010/01/03 20:38,0.379454254
2010/01/03 20:39,0.38105939
2010/01/03 20:40,0.387158909
2010/01/03 20:41,0.385553772
2010/01/03 20:42,0.38812199
2010/01/03 20:43,0.390690209
2010/01/03 20:44,0.390369181
2010/01/03 20:45,0.392295345
2010/01/03 20:46,0.392616372
2010/01/03 20:47,0.394863563
2010/01/03 20:48,0.3964687
2010/01/03 20:49,0.396789727
2010/01/03 20:50,0.398715891
2010/01/03 20:51,0.398073836
2010/01/03 20:52,0.399357945
2010/01/03 20:53,0.399036918
2010/01/03 20:54,0.397752809
2010/01/03 20:55,0.4070626
2010/01/03 20:56,0.395826645
2010/01/03 20:57,0.394221509
2010/01/03 20:58,0.393258427
2010/01/03 20:59,0.393900482
2010/01/03 21:00,0.392616372
2010/01/03 21:01,0.391011236
2010/01/03 21:02,0.394863563
2010/01/03 21:03,0.4035313
2010/01/03 21:04,0.409951846
2010/01/03 21:05,0.403852327
2010/01/03 21:06,0.396147673
2010/01/03 21:07,0.404815409
2010/01/03 21:08,0.402568218
2010/01/03 21:09,0.401284109
2010/01/03 21:10,0.396789727
2010/01/03 21:11,0.397110754
2010/01/03 21:12,0.399036918
2010/01/03 21:13,0.382985554
2010/01/03 21:14,0.392295345
2010/01/03 21:15,0.398073836
2010/01/03 21:16,0.397431782
2010/01/03 21:17,0.398394864
2010/01/03 21:18,0.3929374
2010/01/03 21:19,0.386837881
2010/01/03 21:20,0.3964687
2010/01/03 21:21,0.400963082
2010/01/03 21:22,0.402568218
2010/01/03 21:23,0.386516854
2010/01/03 21:24,0.390690209
2010/01/03 21:25,0.403210273
2010/01/03 21:26,0.402568218
2010/01/03 21:27,0.382985554
2010/01/03 21:28,0.402568218
2010/01/03 21:29,0.405778491
2010/01/03 21:30,0.397110754
2010/01/03 21:31,0.388443018
2010/01/03 21:32,0.400963082
2010/01/03 21:33,0.390690209
2010/01/03 21:34,0.385553772
2010/01/03 21:35,0.402247191
2010/01/03 21:36,0.404173355
2010/01/03 21:37,0.391332263
2010/01/03 21:38,0.403210273
2010/01/03 21:39,0.405136437
2010/01/03 21:40,0.391332263
2010/01/03 21:41,0.386516854
2010/01/03 21:42,0.404173355
2010/01/03 21:43,0.387158909
2010/01/03 21:44,0.390048154
2010/01/03 21:45,0.392295345
2010/01/03 21:46,0.392616372
2010/01/03 21:47,0.396147673
2010/01/03 21:48,0.391011236
2010/01/03 21:49,0.391974318
2010/01/03 21:50,0.3929374
2010/01/03 21:51,0.398073836
2010/01/03 21:52,0.3929374
2010/01/03 21:53,0.391011236
2010/01/03 21:54,0.394221509
2010/01/03 21:55,0.399678973
2010/01/03 21:56,0.392295345
2010/01/03 21:57,0.394221509
2010/01/03 21:58,0.395826645
2010/01/03 21:59,0.3964687
2010/01/03 22:00,0.396147673
2010/01/03 22:01,0.397110754
2010/01/03 22:02,0.397752809
2010/01/03 22:03,0.399036918
2010/01/03 22:04,0.400963082
2010/01/03 22:05,0.402247191
2010/01/03 22:06,0.404494382
2010/01/03 22:07,0.405457464
2010/01/03 22:08,0.406099518
2010/01/03 22:09,0.408025682
2010/01/03 22:10,0.409630819
2010/01/03 22:11,0.412841091
2010/01/03 22:12,0.426324238
2010/01/03 22:13,0.426324238
2010/01/03 22:14,0.424398074
2010/01/03 22:15,0.425361156
2010/01/03 22:16,0.424398074
2010/01/03 22:17,0.423756019
2010/01/03 22:18,0.42247191
2010/01/03 22:19,0.422150883
2010/01/03 22:20,0.42247191
2010/01/03 22:21,0.421187801
2010/01/03 22:22,0.421508828
2010/01/03 22:23,0.403852327
2010/01/03 22:24,0.417335474
2010/01/03 22:25,0.419903692
2010/01/03 22:26,0.416372392
2010/01/03 22:27,0.414446228
2010/01/03 22:28,0.41894061
